"time","unemp","cpi","dol","rts","bci","oil"
"sep 1995",6.5,-0.0999999999999943,4.5,96.77,96.68942,16.5147619047619
"oct 1995",6.6,0.200000000000003,4.5,77.28,95.80558,16.057619047619
"nov 1995",6.7,-0.100000000000009,4.58,71.66,95.00947,16.7372727272727
"dec 1995",6.5,-1.39999999999999,4.64,78.99,94.63032,17.8026315789474
"jan 1996",6.7,0.899999999999991,4.73,84.58,94.51198,17.5654545454545
"feb 1996",6.8,-1.3,4.82,77.23,94.70821,17.3071428571429
"mar 1996",6.7,0,4.86,71.18,94.9668,18.7909523809524
"arp 1996",6.9,-0.599999999999994,4.94,90.71,95.26596,20.137
"may 1996",7,-0.600000000000009,5.03,120.33,95.62997,18.8014285714286
"jun 1996",7,-0.399999999999991,5.11,169.79,95.93618,18.2275
"jul 1996",7.1,-0.5,5.19,170.97,96.22267,19.4247826086957
"aug 1996",7.1,-0.900000000000006,5.35,176.78,96.31232,20.2642857142857
"sep 1996",7.1,0.5,5.41,171.95,96.22442,22.6485714285714
"oct 1996",7.2,0.900000000000006,5.45,177.3,96.23389,24.0569565217391
"nov 1996",7.2,0.700000000000003,5.51,188.14,96.64577,22.8357142857143
"dec 1996",7.3,-0.5,5.55,188.57,97.26224,23.6295
"jan 1997",7.3,0.899999999999991,5.63,257.24,97.79404,23.3127272727273
"feb 1997",7.5,-0.799999999999997,5.68,314.55,98.34488,20.5715
"mar 1997",7.6,-0.0999999999999943,5.73,316.29,98.71702,19.6621052631579
"arp 1997",7.8,-0.400000000000006,5.74,295.87,99.03864,18.1259090909091
"may 1997",7.9,-0.0999999999999943,5.77,353.31,99.18398,19.328
"jun 1997",7.9,0.199999999999989,5.77,382.76,99.27729,18.022380952381
"jul 1997",7.9,-0.199999999999989,5.81,485.47,99.48484,18.3839130434783
"aug 1997",7.9,-1,5.84,531.25,99.80436,18.8395
"sep 1997",8,-0.200000000000003,5.86,491.42,99.96379,18.6404545454545
"oct 1997",8.1,0.5,5.9,515.7,99.78911,20.1434782608696
"nov 1997",8.1,0.399999999999991,5.93,374.86,99.44302,19.319
"dec 1997",8.1,0.400000000000006,5.97,368.37,99.19522,17.5142857142857
"jan 1998",8.3,0.5,6.05,328.35,98.99425,15.6238095238095
"feb 1998",8.4,-0.599999999999994,6.05,303.94,98.80418,14.69
"mar 1998",8.5,-0.300000000000011,6.09,337.91,98.4767,13.7609090909091
"arp 1998",8.5,-0.199999999999989,6.11,314.04,98.09739,14.1185
"may 1998",8.3,0.0999999999999943,6.14,248.78,97.84412,14.4526315789474
"jun 1998",8.1,-0.400000000000006,6.23,180.33,97.30246,13.4113636363636
"jul 1998",8.1,0.100000000000009,6.27,158.72,96.81921,12.9865217391304
"aug 1998",8.3,3.5,9.33,103.46,96.6289,12.3315
"sep 1998",8.6,34.7,15.91,56.06,96.62951,13.6268181818182
"oct 1998",8.9,-33.9,16.01,51.07,97.50525,13.1831818181818
"nov 1998",9.4,1.2,17.88,63.47,98.7429,11.8257142857143
"dec 1998",9.7,5.89999999999999,20.65,61.16,99.56713,10.1857142857143
"jan 1999",10.1,-3.19999999999999,22.6,57.29,100.0597,11.0805
"feb 1999",10.4,-4.30000000000001,22.86,64.34,100.5233,10.5345
"mar 1999",10,-1.3,24.16,79.71,101.0815,12.8773913043478
"arp 1999",9.6,0.200000000000003,24.16,78,101.6062,15.467
"may 1999",9.1,-0.799999999999997,24.44,96.46,102.1788,15.8310526315789
"jun 1999",8.8,-0.299999999999997,24.21,114.64,102.5519,16.2081818181818
"jul 1999",8.7,0.899999999999991,24.19,133.55,102.7147,18.7777272727273
"aug 1999",8.7,-1.59999999999999,24.81,107.12,102.7686,20.437619047619
"sep 1999",8.8,0.299999999999997,25.05,92.31,102.7792,22.8427272727273
"oct 1999",8.9,-0.0999999999999943,26.05,94.56,102.8126,22.2433333333333
"nov 1999",9.1,-0.200000000000003,26.53,111.38,102.9913,24.2386363636364
"dec 1999",8.9,0.0999999999999943,27,130.64,103.0563,25.157
"jan 2000",8.7,1,28.55,188.92,102.8566,25.2215
"feb 2000",8.6,-1.3,28.65,179.22,102.5092,27.0280952380952
"mar 2000",8.2,-0.400000000000006,28.6,216.38,102.3051,27.2726086956522
"arp 2000",7.8,0.300000000000011,28.4,217.04,102.1707,23.1361111111111
"may 2000",7.4,0.899999999999991,28.23,203.33,102.4284,27.4795238095238
"jun 2000",7.3,0.799999999999997,28.05,187.43,102.7967,29.7609090909091
"jul 2000",7.2,-0.799999999999997,27.82,186.07,103.0553,28.6661904761905
"aug 2000",7.1,-0.799999999999997,27.75,224.24,103.2826,30.2254545454545
"sep 2000",7.1,0.299999999999997,27.75,211.44,103.4338,32.3304761904762
"oct 2000",7,0.799999999999997,27.82,194.09,103.4449,31.3859090909091
"nov 2000",7,-0.599999999999994,27.89,175.32,103.2818,32.3822727272727
"dec 2000",7,0.0999999999999943,28.16,145.81,102.8388,25.97
"jan 2001",7.1,1.2,28.4,163.1,102.231,25.8390909090909
"feb 2001",7.1,-0.5,28.62,170.69,101.7121,27.6345
"mar 2001",6.8,-0.399999999999991,28.74,173.06,101.061,25.4486363636364
"arp 2001",6.4,-0.100000000000009,28.83,170.41,100.651,26.3957894736842
"may 2001",6.1,0,29.14,198.79,100.4075,28.582380952381
"jun 2001",6.1,-0.200000000000003,29.07,216.34,100.4959,27.8647619047619
"jul 2001",6.1,-1.09999999999999,29.32,203.11,100.685,25.2177272727273
"aug 2001",6.1,-0.5,29.41,197.61,100.9674,25.7581818181818
"sep 2001",6.2,0.599999999999994,29.39,195.14,101.2332,26.1305
"oct 2001",6.3,0.5,29.68,189.77,101.2529,21.4734782608696
"nov 2001",6.3,0.300000000000011,29.9,220.3,100.7663,19.2072727272727
"dec 2001",6.2,0.199999999999989,30.14,242.85,100.0532,19.0621052631579
"jan 2002",6.1,1.5,30.68,286.5,99.62214,19.9318181818182
"feb 2002",6,-1.89999999999999,30.94,291.78,99.22024,20.3175
"mar 2002",5.8,-0.100000000000009,31.12,333.55,98.91007,24.164
"arp 2002",5.7,0.100000000000009,31.2,369.63,98.97079,25.9938095238095
"may 2002",5.5,0.5,31.31,399.88,99.30507,25.6554545454545
"jun 2002",5.4,-1.2,31.45,370.71,99.7479,24.6138888888889
"jul 2002",5.3,0.200000000000003,31.45,359.5,100.1439,25.6808695652174
"aug 2002",5.2,-0.600000000000009,31.57,336.43,100.5716,26.3547619047619
"sep 2002",5.5,0.300000000000011,31.68,336.32,100.8084,28.2904761904762
"oct 2002",5.8,0.699999999999989,31.77,350.49,100.8512,27.3582608695652
"nov 2002",6.2,0.5,31.84,353.45,100.6005,24.2642857142857
"dec 2002",6.3,-0.0999999999999943,31.78,350.89,100.1778,27.479
"jan 2003",6.6,0.900000000000006,31.83,351.82,99.85572,30.3390909090909
"feb 2003",6.8,-0.800000000000011,31.6,366.41,99.79639,32.1775
