"","INVFC_Q"
"2",1.6
"3",3.8
"4",6.2
"5",15.6
"6",12.3
"7",22.1
"8",26.4
"9",48
"10",29.5
"11",48.4
"12",66.2
"13",122.8
"14",57.8
"15",75.2
"16",85.2
"17",157.8
"18",73.2
"19",85.4
"20",108.9
"21",141.3
"22",71.9
"23",83.9
"24",107.6
"25",143.7
"26",96.8
"27",131.1
"28",185.6
"29",256.9
"30",165.8
"31",236
"32",330.2
"33",433.2
"34",230.3
"35",318.8
"36",421.1
"37",534.5
"38",270.1
"39",376.4
"40",494.5
"41",621.4
"42",330
"43",470.6
"44",607.5
"45",778.3
"46",442.2
"47",626.3
"48",783.3
"49",1013.2
"50",540.5
"51",776.3
"52",993.6
"53",1300.7
"54",658.4
"55",1017.6
"56",1287.3
"57",1766.7
"58",897.6
"59",1414.4
"60",1744.1
"61",2660.1
"62",1314.6
"63",1991.5
"64",2369
"65",3106.5
"66",1224.3
"67",1722.1
"68",2061
"69",2968.6
"70",1242.6
"71",1962.5
"72",2361.1
"73",3585.2
"74",1422
"75",2306
"76",2854.1
"77",4453.6
"78",1730.1
"79",2730.5
"80",3225
"81",4900.5
"82",1905.4
"83",2918.7
"84",3402.9
"85",5223.3
"86",1863.8
"87",2942
"88",3447.6
"89",5274.3
"90",1969.7
"91",3020.8
"92",3560.2
"93",5454.7
