"ï.¿time","unemp"
"sep 1995",6.5
"oct 1995",6.6
"nov 1995",6.7
"dec 1995",6.5
"jan 1996",6.7
"feb 1996",6.8
"mar 1996",6.7
"arp 1996",6.9
"may 1996",7
"jun 1996",7
"jul 1996",7.1
"aug 1996",7.1
"sep 1996",7.1
"oct 1996",7.2
"nov 1996",7.2
"dec 1996",7.3
"jan 1997",7.3
"feb 1997",7.5
"mar 1997",7.6
"arp 1997",7.8
"may 1997",7.9
"jun 1997",7.9
"jul 1997",7.9
"aug 1997",7.9
"sep 1997",8
"oct 1997",8.1
"nov 1997",8.1
"dec 1997",8.1
"jan 1998",8.3
"feb 1998",8.4
"mar 1998",8.5
"arp 1998",8.5
"may 1998",8.3
"jun 1998",8.1
"jul 1998",8.1
"aug 1998",8.3
"sep 1998",8.6
"oct 1998",8.9
"nov 1998",9.4
"dec 1998",9.7
"jan 1999",10.1
"feb 1999",10.4
"mar 1999",10
"arp 1999",9.6
"may 1999",9.1
"jun 1999",8.8
"jul 1999",8.7
"aug 1999",8.7
"sep 1999",8.8
"oct 1999",8.9
"nov 1999",9.1
"dec 1999",8.9
"jan 2000",8.7
"feb 2000",8.6
"mar 2000",8.2
"arp 2000",7.8
"may 2000",7.4
"jun 2000",7.3
"jul 2000",7.2
"aug 2000",7.1
"sep 2000",7.1
"oct 2000",7
"nov 2000",7
"dec 2000",7
"jan 2001",7.1
"feb 2001",7.1
"mar 2001",6.8
"arp 2001",6.4
"may 2001",6.1
"jun 2001",6.1
"jul 2001",6.1
"aug 2001",6.1
"sep 2001",6.2
"oct 2001",6.3
"nov 2001",6.3
"dec 2001",6.2
"jan 2002",6.1
"feb 2002",6
"mar 2002",5.8
"arp 2002",5.7
"may 2002",5.5
"jun 2002",5.4
"jul 2002",5.3
"aug 2002",5.2
"sep 2002",5.5
"oct 2002",5.8
"nov 2002",6.2
"dec 2002",6.3
"jan 2003",6.6
"feb 2003",6.8
"mar 2003",6.6
"arp 2003",6.3
"may 2003",6.1
"jun 2003",6
"jul 2003",6
"aug 2003",6
"sep 2003",6
"oct 2003",6
"nov 2003",6
"dec 2003",6.3
"jan 2004",6.6
"feb 2004",6.9
"mar 2004",6.5
"arp 2004",6
"may 2004",5.6
"jun 2004",5.5
"jul 2004",5.5
"aug 2004",5.4
"sep 2004",5.7
"oct 2004",5.9
"nov 2004",6.1
"dec 2004",6.1
"jan 2005",6.1
"feb 2005",6.1
"mar 2005",5.8
"arp 2005",5.6
"may 2005",5.4
"jun 2005",5.4
"jul 2005",5.3
"aug 2005",5.3
"sep 2005",5.4
"oct 2005",5.5
"nov 2005",5.5
"dec 2005",5.7
"jan 2006",5.7
"feb 2006",5.8
"mar 2006",5.7
"arp 2006",5.6
"may 2006",5.5
"jun 2006",5.3
"jul 2006",5.1
"aug 2006",4.9
"sep 2006",4.9
"oct 2006",5
"nov 2006",5
"dec 2006",5.1
"jan 2007",5.3
"feb 2007",5.4
"mar 2007",5.1
"arp 2007",4.8
"may 2007",4.5
"jun 2007",4.4
"jul 2007",4.3
"aug 2007",4.3
"sep 2007",4.3
"oct 2007",4.3
"nov 2007",4.2
"dec 2007",4.6
"jan 2008",5
"feb 2008",5.3
"mar 2008",4.9
"arp 2008",4.5
"may 2008",4.1
"jun 2008",4.2
"jul 2008",4.3
"aug 2008",4.5
"sep 2008",4.7
"oct 2008",5
"nov 2008",5.3
"dec 2008",5.9
"jan 2009",6.5
"feb 2009",7.1
"mar 2009",6.9
"arp 2009",6.7
"may 2009",6.5
"jun 2009",6.3
"jul 2009",6.2
"aug 2009",6
"sep 2009",5.8
"oct 2009",5.9
"nov 2009",6.2
"dec 2009",6.2
"jan 2010",6.7
"feb 2010",6.3
"mar 2010",6.4
"arp 2010",6
"may 2010",5.5
"jun 2010",5.1
"jul 2010",5.2
"aug 2010",5.1
"sep 2010",4.9
"oct 2010",5
"nov 2010",4.9
"dec 2010",5.3
"jan 2011",5.7
"feb 2011",5.6
"mar 2011",5.2
"arp 2011",5.3
"may 2011",4.7
"jun 2011",4.5
"jul 2011",4.9
"aug 2011",4.6
"sep 2011",4.6
"oct 2011",4.7
"nov 2011",4.7
"dec 2011",4.5
"jan 2012",4.8
"feb 2012",4.7
"mar 2012",4.7
"arp 2012",4.2
"may 2012",4
"jun 2012",4
"jul 2012",4
"aug 2012",3.8
"sep 2012",3.8
"oct 2012",3.9
"nov 2012",3.9
"dec 2012",3.8
"jan 2013",4.5
"feb 2013",4.3
"mar 2013",4.3
"arp 2013",4.2
"may 2013",3.9
"jun 2013",4.1
"jul 2013",4
"aug 2013",4
"sep 2013",4
"oct 2013",4.1
"nov 2013",4.1
"dec 2013",4.2
"jan 2014",4.2
"feb 2014",4.2
"mar 2014",4
"arp 2014",4
"may 2014",3.7
"jun 2014",3.7
"jul 2014",3.7
"aug 2014",3.7
"sep 2014",3.7
"oct 2014",3.9
"nov 2014",3.9
"dec 2014",4
"jan 2015",4.2
"feb 2015",4.4
"mar 2015",4.5
"arp 2015",4.4
"may 2015",4.3
"jun 2015",4.1
"jul 2015",4.1
"aug 2015",4.1
"sep 2015",4
"oct 2015",4.3
"nov 2015",4.4
"dec 2015",4.4
"jan 2016",4.4
"feb 2016",4.4
